"2023-07-04 16:40:43.962067","Zio Paperone","sesto",965,10
"2023-07-04 16:40:43.980669","Paperone","quinto",837,7
"2023-07-04 16:40:43.980921","Paperino","nono",887,2
"2023-07-04 16:40:43.981000","Pluto","secondo",219,4
"2023-07-04 16:40:43.981068","Qua","ottavo",710,9
"2023-07-04 16:40:43.981131","Zio Paperone","terzo",652,2
"2023-07-04 16:40:43.981194","Paperone","ottavo",519,6
"2023-07-04 16:40:43.981254","Mario","sesto",241,1
"2023-07-04 16:40:43.981311","Zio Paperone","decimo",198,3
"2023-07-04 16:40:43.981369","Pluto","terzo",262,4
"2023-07-04 16:40:43.981425","Paperino","secondo",845,8
"2023-07-04 16:40:43.981483","Qui","quarto",681,8
"2023-07-04 16:40:43.981605","Qui","primo",364,3
"2023-07-04 16:40:43.981688","Quo","quinto",322,9
"2023-07-04 16:40:43.981746","Qui","nono",573,4
"2023-07-04 16:40:43.981803","Qua","primo",995,8
"2023-07-04 16:40:43.981858","Quo","sesto",375,9
"2023-07-04 16:40:43.981913","Paperone","ottavo",28,3
"2023-07-04 16:40:43.981967","Paperino","terzo",921,8
"2023-07-04 16:40:43.982021","Pippo","settimo",544,2
"2023-07-04 16:40:43.982074","Paperino","nono",479,1
"2023-07-04 16:40:43.982123","Quo","quinto",717,6
"2023-07-04 16:40:43.982169","Qui","quinto",989,1
"2023-07-04 16:40:43.982213","Mario","primo",992,1
"2023-07-04 16:40:43.982265","Pluto","quarto",852,4
"2023-07-04 16:40:43.982400","Qui","quinto",295,6
"2023-07-04 16:40:43.982510","Qua","terzo",576,5
"2023-07-04 16:40:43.982570","Zio Paperone","nono",547,8
"2023-07-04 16:40:43.982630","Zio Paperone","nono",488,10
"2023-07-04 16:40:43.982677","Zio Paperone","sesto",953,0
"2023-07-04 16:40:43.982722","Zio Paperone","settimo",420,0
"2023-07-04 16:40:43.982766","Pluto","quarto",776,7
"2023-07-04 16:40:43.982809","Qui","settimo",284,0
"2023-07-04 16:40:43.982855","Paperone","primo",7,4
"2023-07-04 16:40:43.982900","Paperone","primo",420,9
"2023-07-04 16:40:43.982944","Qui","secondo",939,7
"2023-07-04 16:40:43.982988","Pluto","nono",137,1
"2023-07-04 16:40:43.983030","Mario","primo",204,7
"2023-07-04 16:40:43.983081","Mario","nono",887,4
"2023-07-04 16:40:43.983126","Pippo","quinto",801,4
"2023-07-04 16:40:43.983170","Paperino","primo",352,4
"2023-07-04 16:40:43.983221","Luigi","quinto",251,2
"2023-07-04 16:40:43.983265","Luigi","ottavo",287,1
"2023-07-04 16:40:43.983308","Qui","decimo",516,2
"2023-07-04 16:40:43.983350","Qui","sesto",912,2
"2023-07-04 16:40:43.983394","Qua","quarto",651,2
"2023-07-04 16:40:43.983436","Qua","terzo",423,9
"2023-07-04 16:40:43.983480","Qua","ottavo",529,7
"2023-07-04 16:40:43.983522","Mario","secondo",344,5
"2023-07-04 16:40:43.983575","Quo","quarto",759,2
"2023-07-04 16:40:45.985588","Quo","terzo",344,10
"2023-07-04 16:40:45.986317","Zio Paperone","sesto",827,10
"2023-07-04 16:40:45.986520","Pippo","secondo",249,0
"2023-07-04 16:40:45.986627","Pluto","settimo",755,3
"2023-07-04 16:40:45.986738","Paperino","quarto",401,5
"2023-07-04 16:40:45.986807","Zio Paperone","terzo",425,3
"2023-07-04 16:40:45.986886","Paperone","settimo",100,3
